id,dienst,platform,technologie,bewijsniveau,bron,bestemming,beperking,waargenomen_op,status
S01,Gemeentelijke website en informatie,Paddle CMS,Drupal; ocelot_paddle; jQuery; Varnish-header,direct,https://www.nazarethdepinte.be/,,"Drupal-hoofdversie, PHP-versie en database onbekend",2026-09-06,concept
S02,Websitezoeken en UiT-filters,Paddle / Drupal,Drupal Views / Search API-signalen,direct,https://www.nazarethdepinte.be/zoeken,,Zoekbackend (bv. Solr) niet vastgesteld,2026-09-06,concept
S03,Burgerprofiel en gemeente-app,Digitaal Vlaanderen,Global header widget; Mijn Burgerprofiel-app,direct + officiële documentatie,https://www.nazarethdepinte.be/bestuur/communicatie/app-nazareth-de-pinte,https://www.vlaanderen.be/digitaal-vlaanderen/onze-diensten-en-platformen/mijn-burgerprofiel/lokale-besturen-met-een-gemeente-app,Geen app-binary geïnspecteerd; native framework onbekend,2026-09-06,concept
S04,"Attesten, akten en adreswijziging",eGovFlow / Vanden Broele,Vue; Vite-build,direct,https://www.nazarethdepinte.be/digitaal-loket,https://nazarethdepinte.egovflow.be/,Publieke catalogus; geen attest aangevraagd,2026-09-06,concept
S05,Afspraak burgerzaken,Timeblockr,JavaScript-widget; cloud-API; Select2 zichtbaar,direct,https://www.nazarethdepinte.be/afspraak-maken,https://include.timeblockr.com/v1/config/nazareth-pinte/config.js,Geen afspraak geboekt; serverframework onbekend,2026-09-06,concept
S06,Zaalreservatie,ReCreateX / Vintia,ASP.NET Web Forms; Telerik; jQuery 3.7.1,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://nazarethdepinte.recreatex.be/Bookings/Overview,Geen reservatie of betaling uitgevoerd,2026-09-06,concept
S07,Materiaalhuur,ReCreateX / Vintia,ASP.NET Web Forms; Telerik; jQuery 3.7.1,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://nazarethdepinte.recreatex.be/Rental/Overview,Geen reservatie of betaling uitgevoerd,2026-09-06,concept
S08,Cultuurtickets,ReCreateX / Vintia,ASP.NET Web Forms; Telerik; jQuery 3.7.1,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://nazarethdepinte.recreatex.be/Tickets/Overview,Geen reservatie of betaling uitgevoerd,2026-09-06,concept
S09,Activiteiten en kampen,ReCreateX / Vintia,ASP.NET Web Forms; Telerik; jQuery 3.7.1,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://nazarethdepinte.recreatex.be/Activities/Overview,Geen reservatie of betaling uitgevoerd,2026-09-06,concept
S10,Kinderopvang-link centrale webshop,ReCreateX / Vintia,ASP.NET Web Forms; Telerik; jQuery 3.7.1,direct,https://www.nazarethdepinte.be/webshop-en-tickets,https://nazarethdepinte.recreatex.be/ChildCare/Overview,S10: overlap met LUWIO; huidige verdeling per opvanglocatie niet volledig vastgesteld,2026-09-06,concept
S11,Aanvullend opvangportaal,LUWIO / Tactics / Vintia,React; statische frontend via AmazonS3-header,direct + leveranciersdocumentatie,https://nazarethdepinte.recreatex.be/,https://shop.nazarethdepinte.be/,Portal en doorverwijzing bevestigd; migratieomvang en backoffice onbekend,2026-09-06,concept
